ID;Host ID;Host Since;Neighbourhood;City;State;Zipcode;Latitude;Longitude;Property Type;Room Type;Bathrooms;Bedrooms;Beds;Bed Type;Square Feet;Cleaning Fee;Availability 365;Review Scores Location;Cancellation Policy;Accommodates;Reviews per Month;Minimum Nights;Price;Monthly Price;Weekly Price;Occupancy
14232272;85271787;2016-07-22;La Latina;Madrid;Comunidad de Madrid;28005;40.40855965696808;-3.70843789556328;Apartment;Entire home/apt;1.0;1.0;3.0;Real Bed;;0.0;166.0;;flexible;4.0;;1.0;200.0;;;0.0
13451556;5500409;2013-03-17;La Latina;Madrid;Comunidad de Madrid;28005;40.411080480403896;-3.706575769502485;Apartment;Entire home/apt;1.0;2.0;4.0;Real Bed;;20.0;290.0;10.0;strict;6.0;3.34;1.0;69.0;;;0.13820689655172413
5983946;5064837;2013-02-12;Embajadores;Madrid;Comunidad de Madrid;28012;40.41283759582893;-3.703797058165631;Apartment;Private room;1.0;1.0;1.0;Real Bed;;20.0;354.0;10.0;strict;2.0;2.06;1.0;29.0;;;0.06983050847457627
6631493;34713256;2015-06-01;La Latina;Madrid;Comunidad de Madrid;28012;40.40823589956457;-3.706167452099804;Apartment;Entire home/apt;1.0;0.0;2.0;Real Bed;;0.0;29.0;9.0;moderate;4.0;2.5;5.0;50.0;1200.0;300.0;5.172413793103448
6932077;36340994;2015-06-21;La Latina;Madrid;Comunidad de Madrid;28005;40.40743459987684;-3.71098358010331;Apartment;Entire home/apt;1.0;1.0;2.0;Real Bed;;15.0;0.0;10.0;flexible;4.0;0.05;1.0;45.0;;275.0;6.000000600000061e-08
15787823;14493776;2014-04-20;Embajadores;Madrid;Comunidad de Madrid;28012;40.40639013290332;-3.700092603608876;Apartment;Entire home/apt;3.0;3.0;4.0;Real Bed;;40.0;298.0;10.0;strict;7.0;0.82;2.0;100.0;;;0.06604026845637584
8472631;22481371;2014-10-13;Embajadores;Madrid;Comunidad de Madrid;28012;40.41012080323693;-3.698368446700004;Apartment;Private room;1.0;1.0;1.0;Real Bed;;0.0;251.0;10.0;strict;2.0;0.43;2.0;30.0;600.0;180.0;0.04111553784860558
12502213;67701126;2016-04-18;Cortes;Madrid;Comunidad de Madrid;28014;40.41056294302242;-3.693206483045792;Apartment;Entire home/apt;2.0;3.0;7.0;Real Bed;;55.0;250.0;10.0;strict;8.0;2.31;4.0;169.0;;;0.44351999999999997
4395001;21434856;2014-09-17;Cortes;Madrid;Comunidad de Madrid;28014;40.4131482175253;-3.696389286824018;Apartment;Entire home/apt;1.0;2.0;4.0;Real Bed;;40.0;113.0;10.0;moderate;5.0;2.95;2.0;75.0;;500.0;0.6265486725663718
15868571;102865727;2016-11-07;Cortes;Madrid;Comunidad de Madrid;28014;40.41588149055065;-3.698859360790739;Condominium;Entire home/apt;1.0;1.0;2.0;Real Bed;;30.0;118.0;10.0;moderate;3.0;3.03;2.0;79.0;;;0.6162711864406779
5313949;27526991;2015-02-10;Cortes;Madrid;Comunidad de Madrid;28014;40.4123288101444;-3.6986908423851377;Apartment;Entire home/apt;1.0;1.0;2.0;Real Bed;;30.0;140.0;10.0;strict;4.0;2.9;1.0;69.0;;;0.24857142857142855
13864065;81945856;2016-07-05;Cortes;Madrid;Comunidad de Madrid;28014;40.412087289980015;-3.694645592524638;Apartment;Entire home/apt;1.0;0.0;2.0;Real Bed;;30.0;100.0;10.0;flexible;4.0;0.19;1.0;70.0;;;0.0228
14569493;89498753;2016-08-12;Cortes;Madrid;Comunidad de Madrid;28014;40.41236327354543;-3.693802981331946;Apartment;Entire home/apt;2.0;2.0;4.0;Real Bed;;0.0;190.0;;flexible;5.0;0.18;1.0;89.0;;;0.01136842105263158
14564175;89498753;2016-08-12;Cortes;Madrid;Comunidad de Madrid;28014;40.41099191712513;-3.695049985260727;Apartment;Entire home/apt;1.0;0.0;2.0;Real Bed;;0.0;349.0;8.0;flexible;2.0;0.77;1.0;89.0;;;0.0264756446991404
7814716;41141141;2015-08-11;Cortes;Madrid;Comunidad de Madrid;28014;40.41522967589919;-3.698250518363109;Apartment;Entire home/apt;2.0;3.0;10.0;Real Bed;;40.0;300.0;10.0;moderate;14.0;0.37;3.0;320.0;3500.0;;0.044399999999999995
12469467;2453702;2012-05-24;Cortes;Madrid;Comunidad de Madrid;28014;40.41317761110543;-3.698677470579437;Loft;Entire home/apt;1.0;0.0;1.0;Real Bed;;25.0;72.0;10.0;strict;2.0;5.31;2.0;65.0;;;1.77
1238018;6749419;2013-06-05;Cortes;Madrid;Community of Madrid;28014;40.41436539552648;-3.7000384268329674;Apartment;Entire home/apt;1.0;1.0;2.0;Pull out Sofa;0.0;30.0;42.0;10.0;moderate;4.0;1.6;3.0;80.0;1750.0;500.0;1.3714285714285717
4414732;12000147;2014-02-06;Cortes;Madrid;Community of Madrid;28012;40.414234957172695;-3.699978347491857;Apartment;Entire home/apt;1.0;0.0;1.0;Real Bed;;0.0;175.0;8.0;strict;4.0;0.22;2.0;76.0;;;0.03017142857142857
15628653;49358380;2015-11-18;Cortes;Madrid;Comunidad de Madrid;28012;40.414493771155215;-3.699414357974384;Other;Entire home/apt;1.0;1.0;2.0;Real Bed;;15.0;7.0;10.0;moderate;4.0;1.69;1.0;80.0;;;2.8971428571428572
8978369;32046323;2015-04-27;Cortes;Madrid;Comunidad de Madrid;28014;40.41410601216564;-3.6958168749121154;Apartment;Entire home/apt;2.0;2.0;4.0;Real Bed;;250.0;0.0;;strict;4.0;0.06;30.0;205.0;2730.0;;2.160000216000021e-06
11074133;57488764;2016-02-05;Cortes;Madrid;Comunidad de Madrid;28013;40.41828818991904;-3.698891871532448;Other;Private room;2.0;1.0;1.0;Real Bed;;0.0;365.0;;flexible;1.0;0.07;1.0;30.0;;;0.002301369863013699
1281843;6871745;2013-06-12;Cortes;Madrid;Comunidad de Madrid;28014;40.41848150102216;-3.6988298653957057;Apartment;Entire home/apt;1.0;1.0;1.0;Real Bed;;180.0;280.0;;strict;1.0;;3.0;70.0;1750.0;450.0;0.0
6509185;33929393;2015-05-21;Cortes;Madrid;Comunidad de Madrid;28014;40.41216961965589;-3.695442415500261;Apartment;Private room;1.0;1.0;1.0;Real Bed;;0.0;365.0;10.0;strict;2.0;0.35;1.0;42.0;500.0;140.0;0.011506849315068492
15323656;2354308;2012-05-12;Cortes;Madrid;Comunidad de Madrid;28014;40.41630252519138;-3.69849729690764;Apartment;Entire home/apt;1.0;1.0;2.0;Real Bed;;18.0;318.0;10.0;moderate;4.0;5.81;1.0;89.0;;;0.21924528301886792
11981223;34575991;2015-05-30;Cortes;Madrid;Comunidad de Madrid;28014;40.4139247187393;-3.697108960496394;Apartment;Private room;1.0;1.0;1.0;Real Bed;;15.0;280.0;10.0;strict;2.0;4.21;1.0;65.0;;;0.1804285714285714
12897035;70632487;2016-05-06;Cortes;Madrid;Comunidad de Madrid;28014;40.41355234736869;-3.698910069464392;Apartment;Entire home/apt;1.0;1.0;2.0;Real Bed;;0.0;314.0;10.0;moderate;4.0;3.83;1.0;85.0;;;0.14636942675159237
9880406;34623998;2015-05-31;Cortes;Madrid;Comunidad de Madrid;28014;40.413058395030205;-3.696910748093744;Condominium;Entire home/apt;3.0;4.0;6.0;Real Bed;;60.0;306.0;10.0;strict;12.0;1.95;2.0;250.0;;;0.15294117647058822
