ID;Self Check-In;Smartlock;Air conditioning;Elevator in building;Essentials;Internet;Heating;Pets allowed;Smoking allowed;Pool;TV;Kitchen;Gym
17749414;False;False;False;True;False;False;True;True;False;False;True;True;False
17651325;False;False;False;False;True;False;True;False;False;False;True;True;False
6409632;False;False;False;False;True;True;True;False;False;False;True;True;False
17362722;False;False;False;False;True;True;True;False;False;False;True;True;False
6999084;True;False;True;True;True;True;True;False;False;False;True;True;False
737480;False;False;True;False;False;True;True;False;True;False;True;True;False
18071532;False;False;False;False;False;False;False;False;True;False;True;True;False
8913498;False;False;True;True;True;False;True;False;False;False;True;True;False
760104;False;False;True;True;True;True;True;False;True;False;True;True;False
10555639;False;False;True;True;True;True;True;False;False;False;True;True;False
10717137;False;False;True;True;True;True;True;False;False;False;True;True;False
10914059;False;False;True;True;True;True;True;False;False;False;True;True;False
1685502;False;False;False;True;True;False;True;True;True;False;True;True;False
7131604;False;False;True;True;True;True;True;False;False;False;True;True;False
16144253;False;False;True;False;True;True;True;False;False;False;True;True;False
7192263;False;False;True;True;True;False;True;False;False;False;True;True;False
4353849;False;False;True;True;True;True;True;False;True;False;True;True;False
6034687;False;False;False;True;True;False;True;False;False;False;True;True;False
15202177;True;False;False;False;True;True;True;False;False;False;True;True;False
16444270;False;False;True;False;True;True;True;False;False;False;True;True;False
944555;False;False;True;True;True;True;True;False;True;False;True;True;False
7143136;False;False;True;True;True;False;True;False;False;False;True;True;False
16139533;False;False;True;True;True;False;True;False;False;False;True;True;False
16038478;False;False;True;True;True;False;True;True;True;False;True;True;False
4339046;False;False;False;True;True;True;True;False;False;False;True;True;False
17934695;False;False;True;False;False;True;True;False;False;False;True;True;False
16198203;False;False;True;True;True;True;True;False;False;False;True;True;False
16259768;False;False;True;True;True;True;True;False;False;False;True;True;False
4302977;False;False;True;False;True;True;True;False;False;False;True;True;False
4402508;False;False;False;False;True;True;True;False;False;False;False;True;False
16188253;False;False;False;True;True;True;True;False;True;False;True;True;False
1086861;False;False;False;True;True;True;True;False;True;False;True;True;False
15855225;False;False;False;False;True;True;True;False;False;False;True;True;False
11254051;False;False;False;True;True;True;True;False;False;True;True;True;False
11155957;False;False;True;True;True;False;True;False;False;True;True;True;False
15642904;False;False;False;False;True;True;True;False;True;False;True;True;False
1335752;False;False;True;True;False;False;True;False;False;False;True;True;False
12208039;False;False;False;False;True;True;True;True;False;False;False;True;False
15911968;False;False;True;False;True;False;True;False;False;False;False;True;False
15019446;False;False;True;True;True;False;True;False;False;False;True;True;False
13829247;False;False;True;True;True;True;True;False;True;True;True;True;False
14378396;False;False;False;False;True;False;False;False;True;False;False;True;False
2073058;False;False;True;True;True;True;True;False;True;False;True;True;False
13429956;False;False;False;False;False;False;False;False;False;False;False;False;False
11218525;False;False;False;True;True;True;True;True;False;False;False;True;False
13745484;False;False;True;True;False;False;False;False;False;True;True;True;False
13647904;False;False;False;False;False;False;False;False;False;False;False;False;False
2010818;False;False;True;False;True;True;True;False;False;False;True;True;False
16810981;False;False;True;True;True;True;True;False;True;False;True;True;False
17782787;False;False;False;False;False;False;True;False;False;False;True;True;False
14814643;False;False;False;False;False;False;False;False;False;False;False;False;False
13140785;False;False;False;True;True;False;True;False;False;False;True;True;False
2597023;False;False;True;True;True;True;True;True;True;True;True;True;False
11657029;False;False;False;True;True;False;True;False;False;False;True;True;False
11641374;False;False;True;True;True;False;True;False;False;False;True;True;False
10899497;False;False;False;True;True;False;True;False;True;False;True;True;False
2207960;False;False;True;True;True;True;True;False;False;False;True;False;False
12016892;False;False;True;False;True;False;True;False;False;False;True;True;False
14082107;False;False;True;True;True;False;True;False;True;False;True;True;False
11737749;False;False;True;True;False;False;True;False;False;False;False;True;False
15508286;False;False;True;True;True;False;True;False;False;True;True;True;False
18028886;False;False;True;True;True;False;True;False;False;False;True;True;False
16891684;False;False;False;True;True;False;True;False;False;False;True;True;False
9773489;False;False;False;True;True;False;True;False;False;False;True;False;False
